Protonated,Deprotonated,pKa,SEM
SM01_micro001,SM01_micro005,-2.94
SM01_micro005,SM01_micro004,9.69
SM01_micro005,SM01_micro010,14.66
SM01_micro004,SM01_micro002,15.42
SM02_micro012,SM02_micro004,-4.04
SM02_micro004,SM02_micro002,6.26
SM02_micro005,SM02_micro002,2.61
SM02_micro006,SM02_micro002,-9.16
SM02_micro002,SM02_micro011,12.82
SM03_micro016,SM03_micro012,0.80
SM03_micro012,SM03_micro002,6.92
SM04_micro014,SM04_micro002,0.34
SM04_micro002,SM04_micro003,7.26
SM04_micro006,SM04_micro003,5.67
SM04_micro008,SM04_micro003,-4.29
SM04_micro003,SM04_micro005,15.54
SM05_micro005,SM05_micro010,-5.73
SM05_micro009,SM05_micro001,-4.29
SM05_micro010,SM05_micro001,4.84
SM05_micro001,SM05_micro002,14.91
SM06_micro002,SM06_micro007,1.09
SM06_micro005,SM06_micro001,0.91
SM06_micro007,SM06_micro001,4.45
SM06_micro001,SM06_micro008,12.51
SM07_micro014,SM07_micro006,0.43
SM07_micro006,SM07_micro004,7.42
SM07_micro007,SM07_micro004,5.95
SM07_micro011,SM07_micro004,-3.42
SM07_micro004,SM07_micro012,15.80
SM08_micro002,SM08_micro011,-2.40
SM08_micro011,SM08_micro003,8.15
SM08_micro011,SM08_micro006,5.33
SM08_micro011,SM08_micro009,8.11
SM08_micro006,SM08_micro004,12.16
SM09_micro013,SM09_micro001,-3.89
SM09_micro001,SM09_micro003,6.78
SM09_micro005,SM09_micro003,2.99
SM09_micro006,SM09_micro003,-7.85
SM09_micro003,SM09_micro009,13.10
SM10_micro024,SM10_micro036,-3.00
SM10_micro028,SM10_micro036,0.95
SM10_micro033,SM10_micro036,-2.95
SM10_micro036,SM10_micro004,13.65
SM10_micro036,SM10_micro017,14.13
SM10_micro036,SM10_micro023,7.97
SM10_micro023,SM10_micro018,15.54
SM11_micro018,SM11_micro008,-2.38
SM11_micro031,SM11_micro008,-1.93
SM11_micro008,SM11_micro005,4.03
SM11_micro009,SM11_micro005,-0.88
SM11_micro011,SM11_micro005,3.32
SM11_micro013,SM11_micro005,-3.22
SM11_micro005,SM11_micro007,14.59
SM12_micro013,SM12_micro006,-4.25
SM12_micro001,SM12_micro012,2.42
SM12_micro006,SM12_micro012,6.48
SM12_micro008,SM12_micro012,-8.38
SM12_micro012,SM12_micro009,12.84
SM13_micro013,SM13_micro001,-1.84
SM13_micro008,SM13_micro005,-6.28
SM13_micro012,SM13_micro005,4.23
SM13_micro001,SM13_micro005,7.10
SM13_micro005,SM13_micro004,13.44
SM14_micro003,SM14_micro004,3.38
SM14_micro002,SM14_micro001,5.04
SM14_micro004,SM14_micro001,5.17
SM14_micro001,SM14_micro006,20.82
SM15_micro003,SM15_micro002,4.44
SM15_micro002,SM15_micro004,9.19
SM16_micro008,SM16_micro004,-11.75
SM16_micro004,SM16_micro002,5.98
SM16_micro006,SM16_micro002,-5.80
SM16_micro002,SM16_micro005,11.59
SM17_micro006,SM17_micro011,-3.11
SM17_micro007,SM17_micro011,-5.25
SM17_micro011,SM17_micro010,3.78
SM17_micro005,SM17_micro010,-3.15
SM17_micro004,SM17_micro010,-2.17
SM18_micro056,SM18_micro002,1.61
SM18_micro004,SM18_micro002,1.33
SM18_micro031,SM18_micro002,-2.10
SM18_micro034,SM18_micro002,2.96
SM18_micro056,SM18_micro016,1.84
SM18_micro034,SM18_micro016,3.19
SM18_micro002,SM18_micro071,9.16
SM18_micro002,SM18_micro005,9.55
SM18_micro016,SM18_micro071,8.98
SM18_micro071,SM18_micro049,9.62
SM18_micro005,SM18_micro049,9.24
SM19_micro006,SM19_micro007,0.50
SM19_micro007,SM19_micro012,9.13
SM20_micro003,SM20_micro004,5.72
SM21_micro026,SM21_micro001,-7.28
SM21_micro030,SM21_micro001,-9.71
SM21_micro001,SM21_micro020,4.04
SM21_micro002,SM21_micro020,-5.08
SM21_micro022,SM21_micro020,-7.58
SM21_micro024,SM21_micro020,-0.50
SM21_micro020,SM21_micro005,14.72
SM21_micro020,SM21_micro012,13.59
SM22_micro002,SM22_micro001,1.18
SM22_micro001,SM22_micro004,6.43
SM23_micro038,SM23_micro007,-4.02
SM23_micro007,SM23_micro012,5.03
SM23_micro021,SM23_micro012,-6.76
SM23_micro024,SM23_micro012,-6.87
SM23_micro025,SM23_micro012,2.65
SM23_micro012,SM23_micro034,13.69
SM23_micro012,SM23_micro035,14.43
SM23_micro012,SM23_micro028,16.19
SM23_micro012,SM23_micro036,15.64
SM24_micro020,SM24_micro011,-3.99
SM24_micro010,SM24_micro006,0.46
SM24_micro011,SM24_micro006,2.47
SM24_micro017,SM24_micro006,-7.80
SM24_micro006,SM24_micro002,16.80
SM24_micro006,SM24_micro027,16.27
